paper_title,year,num_datasets,genre1,genre2,genre3,genre4,genre5,genre_clean
Techniques for Automatic Music Transcription,2000,0,n/a,NA,NA,NA,NA,N/A
Optical Music Recognition System within a Large-Scale Digitization Project,2000,1,"""american popular music"" not otherwise specified",NA,NA,NA,NA,Pop
PROMS: A Web-based Tool for Searching in Polyphonic Music,2000,1,MIDI data,NA,NA,NA,NA,Doesn't Specify
ARTHUR: Retrieving Orchestral Music by Long-Term Structure,2000,1,classical, some rock (Pink Floyd + Beatles), jazz (John Coltrane),NA,NA,"Classical, Pop, Rock, Jazz"
Towards Instrument Segmentation for Music Content Description: a Critical Review of Instrument Classification Techniques,2000,0,n/a,NA,NA,NA,NA,N/A
SEMEX - An efficient Music Retrieval Prototype,2000,1,Excerpts,NA,NA,NA,NA,Single Instrument
Mel Frequency Cepstral Coefficients for Music Modeling,2000,1,n/a,NA,NA,NA,NA,N/A
A Comparison of Language Modeling and Probabilistic Text Information Retrieval Approaches to Monophonic Music Retrieval,2000,1,folk,NA,NA,NA,NA,Folk
XML4MIR: Extensible Markup Language for Music Information Retrieval,2000,0,n/a,NA,NA,NA,NA,N/A
Audio Information Retrieval (AIR) Tools,2000,1,classical, modern, jazz,NA,NA,"Classical, Pop, Jazz"
Content-based Identification of Audio Material Using MPEG-7 Low Level Description,2001,1,Rock/Pop,NA,NA,NA,NA,"Rock, Pop"
Figured Bass and Tonality Recognition,2001,1,Classical,NA,NA,NA,NA,Classical
MUSART: Music Retrieval Via Aural Queries,2001,1,unspecified,NA,NA,NA,NA,Doesn't Specify
Building a Platform for Performance Study of Various Music Information Retrieval Approaches,2001,1,Chinese and English Pop,NA,NA,NA,NA,"Pop, Non-Western"
An Approach Towards A Polyphonic Music Retrieval System,2001,1,Classical,NA,NA,NA,NA,Classical
A Technique for Regular Expression Style Searching in Polyphonic Music,2001,0,n/a,NA,NA,NA,NA,N/A
Expressive and Efficient Retrieval of Symbolic Musical Data,2001,1,30000 pieces of American popular music dating as far back as 1780,NA,NA,NA,NA,Pop
Melody Spotting Using Hidden Markov Models,2001,1,collection of simple monophonic melodies recorded by various instruments,NA,NA,NA,NA,Instrumental
Towards a Cognitive Model of Melodic Similarity,2001,0,n/a,NA,NA,NA,NA,N/A
GUIDO/MIR – An Experimental Musical Information Retrieval System based on GUIDO Music Notation,2001,1,about 150 files,NA,NA,NA,NA,Various
The JRing System for Computer-Assisted Musicological Analysis,2001,0,n/a,NA,NA,NA,NA,N/A
Score Processing For MIR,2001,0,n/a,NA,NA,NA,NA,N/A
Thematic Extractor,2001,1,Classical,NA,NA,NA,NA,Classical
Music Signal Spotting Retrieval by a Humming Query Using Start Frame Feature Dependent Continuous Dynamic Programming,2001,1,Japanese pop, children's songs, animation songs, japanese enka,NA,Non-Western
An Audio Front End for Query-by-Humming Systems,2001,1,4 simple melodies,NA,NA,NA,NA,Instrumental
A Naturalist Approach to Music File Name Analysis,2001,3,a large variety,NA,NA,NA,NA,Various
Automated Rhythm Transcription,2001,1,Classical,NA,NA,NA,NA,Classical
Efficient Multidimensional Searching Routines,2001,0,n/a,NA,NA,NA,NA,N/A
Musical Works as Information Retrieval Entities: Epistemological Perspectives,2001,0,n/a,NA,NA,NA,NA,N/A
Automatic Musical Genre Classification of Audio Signals,2001,1,15 different genres,NA,NA,NA,NA,Various
Using Long-Term Structure to Retrieve Music: Representation and Matching,2001,1,unspecified,NA,NA,NA,NA,Doesn't Specify
Statistical Significance in Song-Spotting in Audio,2001,1,unspecified,NA,NA,NA,NA,Doesn't Specify
"The Music Information Retrieval Annotated Bibliograpy Project, Phase I",2001,0,n/a,NA,NA,NA,NA,N/A
MIRACLE: A Music Information Retrieval System with Clustered Computing Engines,2001,1,unspecified,NA,NA,NA,NA,Doesn't Specify
A Three-Layer Approach for Music Retrieval in Large Databases,2001,0,n/a,NA,NA,NA,NA,N/A
Melody Matching Directly From Audio,2001,2,big band swing, the beatles,NA,NA,NA,"Pop, Jazz"
Usage of the MELDEX Digital Music Library,2001,1,n/a,NA,NA,NA,NA,N/A
Addressing the Same but Different - Different but Similar Problem in Automatic Music Classification,2001,0,n/a,NA,NA,NA,NA,N/A
Musical Information Retrieval for Delta and Neumatic Systems,2001,1,byzantine music,NA,NA,NA,NA,Other
Adaptive User Modeling in a Content-Based Music Retrieval System,2001,0,n/a,NA,NA,NA,NA,N/A
Discovering Themes by Exact Pattern Matching,2001,0,Classical,NA,NA,NA,NA,Classical
Melodic Resolution in Music Retrieval,2001,0,n/a,NA,NA,NA,NA,N/A
Sound Spotting – a Frame-Based Approach,2001,0,n/a,NA,NA,NA,NA,N/A
Music Database Retrieval Based on Spectral Similarity,2001,1,unspecified,NA,NA,NA,NA,Doesn't Specify
Singer Identification in Popular Music Recordings Using Voice Coding Features,2002,1,pop, rock, electronic,NA,NA,Various
The Quest for Ground Truth in Musical Artist Similarity,2002,1,pop, rock,NA,NA,NA,"Pop, Rock"
Measuring the Similarity of Rhythmic Patterns,2002,1,Classical, Electronic/Dance, Hip Hop/Rap, Jazz/Blues," Rock/Pop, Soul/RnB/Funk, World/Folk",Various
Music Similarity Measures : What’s the use?,2002,1,18 genre families,NA,NA,NA,NA,Various
Interactive Music Summarization based on GTTM,2002,0,n/a,NA,NA,NA,NA,N/A
Toward Automatic Music Audio Summary Generation from Signal Analysis,2002,1,various genres including pop,NA,NA,NA,NA,Various
Automatic Music Summarization via Similarity Analysis,2002,1,classical, pop/rock, jazz,NA,NA,Various
Pattern Discovery Techniques for Music Audio,2002,1,classical, jazz, pop/rock,NA,NA,Various
MACSIS: A Scalable Acoustic Index for Content-Based Music Retrieval,2002,1,classical, modern,NA,NA,NA,Classical
Using Psycho-Acoustic Models and Self-Organizing Maps to Create a Hierarchical Structuring of Music by Musical Styles,2002,2,"""variety of genres"" pop", classical, and potentially others,NA,NA,Various
Combining Musical and Cultural Features for Intelligent Style Detection,2002,2,five genres,  metadata of pop songs,NA,NA,NA,Various
A Review of Factors Affecting Music Recommender Success,2002,0,n/a,NA,NA,NA,NA,N/A
PATS: Realization and user evaluation of an automatic playlist generator,2002,1,jazz,NA,NA,NA,NA,Jazz
Interdisciplinary Communities and Research Issues in Music Information Retrieval,2002,0,n/a,NA,NA,NA,NA,N/A
Usability of Musical Digital Libraries: a Multimodal Analysis,2002,4,folk, pop, rock, and tunes,NA,Various
Categories of Music Description and Search Terms and Phrases Used by Non-Music Experts,2002,1,classical,NA,NA,NA,NA,Classical
A Highly Robust Audio Fingerprinting System,2002,1,various,NA,NA,NA,NA,Various
Polyphonic Score Retrieval Using Polyphonic Audio Queries: A Harmonic Modeling Approach,2002,4,classical,  other (little star),NA,NA,NA,"Classical, Other"
Mid-Level Music Melody Representation of Polyphonic Audio for Query-by-Humming System,2002,1,kpop, pop,NA,NA,NA,Pop and K-pop
A Comparative and Fault-tolerance Study of the Use of N-grams with Polyphonic Music,2002,1,various,NA,NA,NA,NA,Various
Johnny Can’t Sing: A Comprehensive Error Model for Sung Music Queries,2002,1,pop,NA,NA,NA,NA,Pop
An Auditory Model Based Transcriber of Singing Sequences,2002,1,not specified,NA,NA,NA,NA,Doesn't Specify
Automatic Transcription of Piano Music,2002,1,classical,NA,NA,NA,NA,Classical
Voice Separation – A Local Optimization Approach,2002,1,classical,NA,NA,NA,NA,Classical
Indexing Music Databases Using Automatic Extraction of Frequent Phrases,2002,1,Irish folk,NA,NA,NA,NA,Folk
Pitch Histograms in Audio and Symbolic Music Information Retrieval,2002,1,Electronica, Classical, Jazz, Irish Folk and Rock,NA,Various
A Comparison of Manual and Automatic Melody Segmentation,2002,1,classical,NA,NA,NA,NA,Classical
Indexing Hidden Markov Models for Music Retrieval,2002,1,various,NA,NA,NA,NA,Various
The CUIDADO Project,2002,1,various,NA,NA,NA,NA,Various
CubyHum: a fully operational ‚“query by humming“ system,2002,1,pop,NA,NA,NA,NA,Pop
A Kind of Content-Based Music Information Retrieval Method in a Peer-to-Peer Environment,2002,0,n/a,NA,NA,NA,NA,N/A
"01 ""I Found It, How Can I Use It?"" - Dealing With the Ethical and Legal Constraints of Information Access",2003,0,n/a,NA,NA,NA,NA,N/A
02 An Industrial Strength Audio Search Algorithm,2003,1,various,NA,NA,NA,NA,Various
03 Toward the scientific evaluation of music information retrieval systems,2003,1,Classical, Jazz, Asian digital recordings,NA,NA,Various
04 Effectiveness of HMM-based retrieval on large databases,2003,1,various,NA,NA,NA,NA,"Pop, Rock"
04 The MUSART testbed for query-by-humming evaluation,2003,1,various,NA,NA,NA,NA,Various
05 The dangers of parsimony in query-by-humming applications,2003,1,pop and classical,NA,NA,NA,NA,"Pop, Classical"
"06 Effects of song familiarity, singing training and recent song exposure on the singing of melodies",2003,1,pop, rock,NA,NA,NA,"Pop, Rock"
07 The MAMI query-by-voice experiment: collecting and annotating vocal queries for music information retrieval,2003,1,popular music ranging from chanson to heavy metal, well-known Flemish children songs, classical music.,NA,NA,Various
08 Was Parsons right? An experiment in usability of music representations for melody-based music retrieval,2003,1,doesn't specify well known melodies,NA,NA,NA,NA,Doesn't Specify
09 Automatic mood detection from acoustic music data,2003,1,classical and romantic,NA,NA,NA,NA,Classical
10 Discovering musical pattern through perceptual heuristics,2003,0,n/a,NA,NA,NA,NA,N/A
11 A large-scale evalutation of acoustic and subjective music similarity measures,2003,1,pop,NA,NA,NA,NA,Pop
12 Using transportation distances for measuring melodic similarity,2003,1,various,NA,NA,NA,NA,Various
13 Automatic labeling of tabla signals,2003,1,North Indian percussion instrument,NA,NA,NA,NA,Instrument Recording
14 Application of missing feature theory to the recognition of musical instruments in polyphonic audio,2003,1,doesn't specify,NA,NA,NA,NA,Various
15 Ground-truth transcriptions of real music from force-aligned MIDI syntheses,2003,1,9 songs,NA,NA,NA,NA,Various
16 Improving polyphonic and poly-instrumental music to score alignment,2003,1,classical contemporary songs without percussion,NA,NA,NA,NA,Classical
17  Features for audio and music classification,2003,1,classical music, popular music, speech, crowd noise, and noise,Various
18 Classification of dance music by periodicity patterns,2003,1,standard and Latin dance music,NA,NA,NA,NA,Other
19 Blind clustering of popular music recordings based on singer voice characteristics,2003,1,pop,NA,NA,NA,NA,Pop
20 Harmonic analysis with probabilistic graphical models,2003,1,classical,NA,NA,NA,NA,Classical
21 Chord segmentation and recognition using EM-trained hidden markov models,2003,1,Beatles,NA,NA,NA,NA,"Pop, Rock"
22 Geometric algorithms for transposition invariant content based music retrieval,2003,11,classical,NA,NA,NA,NA,Classical
23 Exploring music collections by browsing different views,2003,0,n/a,NA,NA,NA,NA,N/A
24 A scalable peer-to-peer system for music content and information retrieval,2003,1,variety of genres and styles,NA,NA,NA,NA,Various
25 The Danish Collaborative Project,2003,1,doesn't specify,NA,NA,NA,NA,Doesn't Specify
26 Building Chopin Early Editions,2003,1,classical,NA,NA,NA,NA,Classical
27 The Sheet Music Consortium: A Specialized Open Archives Initiative harvester project,2003,1,digiltal sheet music collection -,NA,NA,NA,NA,N/A
28 The Basics of Music Copyright,2003,0,n/a,NA,NA,NA,NA,N/A
29 Intellectual Property and Designers of Music Information Retrieval Systems,2003,0,n/a,NA,NA,NA,NA,N/A
30 Intellectual Property and Music Information Retrieval Systems,2003,0,n/a,NA,NA,NA,NA,N/A
31  A multiple feature model for musical similarity retrieval.,2003,1,pop, jazz, classical, rap, rhythm & blues,Various
"32 Automatic synchronization of music data in score-, MIDI- and PCM-format.",2003,1,piano music,NA,NA,NA,NA,Instrumental
33  Determining context-defining windows: Pitch spelling using the spiral array.,2003,0,Classical,NA,NA,NA,NA,Classical
34 Analysis of queries to a Wizard-of-Oz MIR system: Challenging assumptions about what people really want.,2003,0,n/a,NA,NA,NA,NA,N/A
35 Position Indexing of Adjacent and Concurrent N-Grams for Polyphonic Music Retrieval.,2003,1,various,NA,NA,NA,NA,Various
36  Music scene description project: Toward audio-based real-time music understanding.,2003,1,pop,NA,NA,NA,NA,Pop
37 RWC Music Database: Music genre database and musical instrument sound database.,2003,6,Various,NA,NA,NA,NA,Various
"38  Automatic segmentation, learning and retrieval of melodies using a self-organizing neural network.",2003,1,Various,NA,NA,NA,NA,Various
39 Three-dimensional continuous DP algorithm for multiple pitch candidates in a music information retrieval system.,2003,1,children's songs (japan and foreign countries),NA,NA,NA,NA,Non Western
40  The C-BRAHMS project.,2003,1,various,NA,NA,NA,NA,Various
41  Detecting emotion in music.,2003,1,Ambient, Classical, Fusion, and Jazz,NA,Various
42  The importance of cross database evaluation in musical instrument sound classification: A critical approach.,2003,1,Bassoon, Contrabass, Clarinet, French horn," Flute, Oboe, and Cello sounds",Instrumental
43 An SVM-based classification approach to musical audio,2003,1,Sri Lankan songs,NA,NA,NA,NA,Non Western
44 An auditory model based transriber of vocal queries.,2003,1,vocal query,NA,NA,NA,NA,Instrumental
45  Chopin early editions: The construction and usage of a collection of digital scores.,2003,1,classical,NA,NA,NA,NA,Classical
46  An HMM-based pitch tracker for audio queries,2003,1,Not specified,NA,NA,NA,NA,Doesn't Specify
47 Rhythmic similarity through elaboration,2003,1,Rock,NA,NA,NA,NA,Rock
48  Key-specific shrinkage techniques for harmonic models.,2003,1,classical,NA,NA,NA,NA,Classical
49  Using morphological description for generic sound retrieval.,2003,1,sounds (not necessarily music),NA,NA,NA,NA,Other
50 Design patterns in XML music representation.,2003,1,Not specified,NA,NA,NA,NA,Doesn't Specify
51  Music Notation as a MEI Feasability Test.,2003,1,classical,NA,NA,NA,NA,Classical
